openspending_id,amount,category_name,category_label,subcategory_name,subcategory_label,time_name,time_year,time_month,time_day,time_week,time_yearmonth,time_quarter,time
5502a773cd1ad39dbaa44634fdfa385bfbc91a18,64460106.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-01-31,2012,01,31,05,201201,0,2012-01-31
1c4ca51392ca10d338c45fe9a65dec13ab6a3297,89073506.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-02-29,2012,02,29,09,201202,0,2012-02-29
595a74b33dfc1c3a91f7b77644f6b6dd6f27c14f,202714135.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-03-31,2012,03,31,13,201203,0,2012-03-31
98d7f9f52a0bf54117203fc28c621a674b69c580,137486618.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-04-30,2012,04,30,18,201204,1,2012-04-30
e121954c0a427e916ddd27df6dd99a69ff9ea1f2,155304928.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-05-31,2012,05,31,22,201205,1,2012-05-31
76a169a11bef1df8b706018093bba32c3d91cb5e,121578631.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-06-30,2012,06,30,26,201206,1,2012-06-30
ea88f78c4e4b1165abf2a502d8fb05d1f5eb2ae9,136158267.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-07-31,2012,07,31,31,201207,1,2012-07-31
4c774a7d35a5323c6a97fda2756f0eb4c4ff8dd7,98811939.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-08-31,2012,08,31,35,201208,2,2012-08-31
9e1cdc5be5dcb68de084ff575b2f9a556c6acf7f,157146993.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-09-30,2012,09,30,39,201209,2,2012-09-30
ae3f163e95eeb78630d6b25076553fde6a146ad6,151947619.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-10-31,2012,10,31,44,201210,2,2012-10-31
71dd4cf884d22630f8d8328ff2570ace462534b1,240310548.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-11-30,2012,11,30,48,201211,2,2012-11-30
5f9d80d92a3b4c197c5b0ffd801e2d4322cc8a8d,340783516.0,eignarskattar,Eignarskattar ,erfdafjarskattur,Erfðafjárskattur,2012-12-31,2012,12,31,53,201212,3,2012-12-31
7373ab775da59c6b5534d81ed19f293475946b58,1356843157.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-01-31,2012,01,31,05,201201,0,2012-01-31
0d8f286dfccb34abcb29d2e6e683974941d1537e,42327628.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-02-29,2012,02,29,09,201202,0,2012-02-29
e338173381185792316e61edc22df1765550e11d,0.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-03-31,2012,03,31,13,201203,0,2012-03-31
fc46dc6b746b2ae190661aa2bfcf66caaf17f99f,0.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-04-30,2012,04,30,18,201204,1,2012-04-30
d582ae2fc9bf1f3e2c2d5e81e459babde42840a6,0.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-05-31,2012,05,31,22,201205,1,2012-05-31
2896dc127cff699b46ed14c5558a4580137cad53,0.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-06-30,2012,06,30,26,201206,1,2012-06-30
117d9a1717baf977f0d6bc371ff6be7df0c8f6f5,0.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-07-31,2012,07,31,31,201207,1,2012-07-31
12ec66fe050badd404c33ca9691285900a0d9dc4,0.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-08-31,2012,08,31,35,201208,2,2012-08-31
d5e65b57c467ecb9d4f75b1e93381d96b3a769b6,0.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-09-30,2012,09,30,39,201209,2,2012-09-30
d26481aa43319ad3c69a4128f68d061f9517d014,-132040539.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-10-31,2012,10,31,44,201210,2,2012-10-31
7853c674cc9ef38e06dcc3c818b775ec090edffa,118195685.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-11-30,2012,11,30,48,201211,2,2012-11-30
4cdab6eddba131bfae477c9bdbbbf2f046ab7f8b,0.0,eignarskattar,Eignarskattar ,serstakt-gjald-a-lifeyrissjodi,Sérstakt gjald á lífeyrissjóði,2012-12-31,2012,12,31,53,201212,3,2012-12-31
576b3245241ac82022c40fafb0ae08b282d07e47,25959322.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-01-31,2012,01,31,05,201201,0,2012-01-31
f1f7a4ed687cb50c1e2e3ccf945d3e2008e40bad,26882347.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-02-29,2012,02,29,09,201202,0,2012-02-29
e31d253ec60582dad02d6067f609373c571e8d47,47385928.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-03-31,2012,03,31,13,201203,0,2012-03-31
ce0349517e606531c7cd2a7adeab79d4359556f5,29547547.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-04-30,2012,04,30,18,201204,1,2012-04-30
4c385d5e4f2fd109fa2e8841e693d3a30fe6193c,35275363.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-05-31,2012,05,31,22,201205,1,2012-05-31
6e10c1d73951efefb7353cb0c944b49cb922d116,35518648.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-06-30,2012,06,30,26,201206,1,2012-06-30
4e0b23721e5dc0e549b025b5de5dd7a4d2edf7bb,26414950.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-07-31,2012,07,31,31,201207,1,2012-07-31
1b1fd377bf77186bfb3ced7ab5ef28af72668c29,21741773.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-08-31,2012,08,31,35,201208,2,2012-08-31
b5aa6416a015ade57822606294c4a23a7abc3bbe,21044290.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-09-30,2012,09,30,39,201209,2,2012-09-30
07c336b390c4d3bdbf8d226fb341101c389d0d63,30833084.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-10-31,2012,10,31,44,201210,2,2012-10-31
6e5036cc5bac3adf56847d425f0b5b00ccfbfb37,29334725.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-11-30,2012,11,30,48,201211,2,2012-11-30
0d1ff93254e4a5fb4c2afdd79d94fb6884851b07,355203873.0,eignarskattar,Eignarskattar ,adrir-eignarskattar,Aðrir eignarskattar,2012-12-31,2012,12,31,53,201212,3,2012-12-31
953e3548fc516cd0bac29eaf835e0a45c6d47f1f,3906615900.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-01-31,2012,01,31,05,201201,0,2012-01-31
9f13a393f3d9f98fd51952bdf0f0cc38ba49183c,20429614806.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-02-29,2012,02,29,09,201202,0,2012-02-29
722dc93c4bbd03b49bbe9cf1aef706eab0d9d77d,3177672534.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-03-31,2012,03,31,13,201203,0,2012-03-31
3f893a63098d1447e844a799a41c888b333f05b3,14835134987.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-04-30,2012,04,30,18,201204,1,2012-04-30
703db2b76b9b7846ebfa3182a6c1a12a4d01193e,5777925565.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-05-31,2012,05,31,22,201205,1,2012-05-31
dace46187dcb825b3504408ea325ec4a8f23a65f,17234868341.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-06-30,2012,06,30,26,201206,1,2012-06-30
b08113aadb4475927c5437ae06dbe85198c7b02b,6015111900.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-07-31,2012,07,31,31,201207,1,2012-07-31
c2d9fb2e61bce89b862a179e087cad28688185d6,19228618573.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-08-31,2012,08,31,35,201208,2,2012-08-31
3f8ccedc9a17281fb584061f1ebf17adc5680ba9,2440294424.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-09-30,2012,09,30,39,201209,2,2012-09-30
6ad24ad005ebd7cc25e9f5eb78d866c29f098048,19319480345.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-10-31,2012,10,31,44,201210,2,2012-10-31
3b919db469fb8604bfb990fa2b509800cfd18bcc,4323856360.0,skattar-a-voru-og-thjonustu,Skattar á vöru og þjónustu ,virdisaukaskattur,Virðisaukaskattur ,2012-11-30,2012,11,30,48,201211,2,2012-11-30
